"titleid","ordering","title","region","language","types","attributes","isoriginaltitle"
"tt0000001","2","Carmencita","DE","\N","\N","literal title","0"
"tt0000001","8","カルメンチータ","JP","ja","imdbDisplay","\N","0"
"tt0000001","3","Carmencita - spanyol tánc","HU","\N","imdbDisplay","\N","0"
"tt0000001","7","Carmencita","\N","\N","original","\N","1"
"tt0000001","1","Карменсіта","UA","\N","imdbDisplay","\N","0"
"tt0000001","4","Καρμενσίτα","GR","\N","imdbDisplay","\N","0"
"tt0000001","6","Carmencita","US","\N","\N","\N","0"
"tt0000001","5","Карменсита","RU","\N","imdbDisplay","\N","0"
"tt0000002","7","The Clown and His Dogs","US","\N","\N","literal English title","0"
"tt0000002","4","Der Clown und seine Hunde","DE","\N","\N","literal title","0"
"tt0000002","2","A bohóc és kutyái","HU","\N","imdbDisplay","\N","0"
"tt0000002","1","Le clown et ses chiens","\N","\N","original","\N","1"
"tt0000002","3","Le clown et ses chiens","FR","\N","\N","\N","0"
"tt0000002","6","Клоун и его собаки","RU","\N","imdbDisplay","\N","0"
"tt0000002","8","道化師と犬","JP","ja","imdbDisplay","\N","0"
"tt0000002","5","Clovnul si cainii sai","RO","\N","imdbDisplay","\N","0"
"tt0000003","8","Pauvre Pierrot","FR","\N","\N","\N","0"
"tt0000003","2","Szegény Pierrot","HU","\N","imdbDisplay","\N","0"
"tt0000003","1","Sarmanul Pierrot","RO","\N","imdbDisplay","\N","0"
"tt0000003","4","Бідний П'єро","UA","\N","imdbDisplay","\N","0"
"tt0000003","7","Poor Pierrot","GB","\N","imdbDisplay","\N","0"
"tt0000003","5","Бедный Пьеро","RU","\N","imdbDisplay","\N","0"
"tt0000003","6","Pauvre Pierrot","\N","\N","original","\N","1"
"tt0000003","3","哀れなピエロ","JP","ja","imdbDisplay","\N","0"
"tt0000003","9","Armer Pierrot","DE","\N","\N","literal title","0"
"tt0000004","5","Полная кружка пива","RU","\N","imdbDisplay","\N","0"
"tt0000004","3","Un ţap de bere","RO","\N","imdbDisplay","\N","0"
"tt0000004","4","Un bon bock","FR","\N","\N","\N","0"
"tt0000004","6","一杯のビール","JP","ja","imdbDisplay","\N","0"
"tt0000004","2","Ein gutes Glas Bier","DE","\N","\N","literal title","0"
"tt0000004","1","Un bon bock","\N","\N","original","\N","1"
"tt0000004","8","Egy jó pohár sör","HU","\N","imdbDisplay","\N","0"
"tt0000004","7","A Good Beer","\N","\N","\N","\N","0"
"tt0000005","5","Blacksmith Scene #1","US","\N","alternative","\N","0"
"tt0000005","10","Blacksmith Scene","\N","\N","original","\N","1"
"tt0000005","9","Blacksmith Scene","US","\N","\N","\N","0"
"tt0000005","6","Blacksmithing","US","\N","\N","informal alternative title","0"
"tt0000005","4","Blacksmith Shop","GB","\N","\N","informal alternative title","0"
"tt0000005","3","Сцена в кузне","RU","\N","imdbDisplay","\N","0"
"tt0000005","11","The Blacksmith's Forge","GB","\N","\N","informal alternative title","0"
"tt0000005","7","Schmiedszene","DE","\N","\N","literal title","0"
"tt0000005","8","A patkolókovács","HU","\N","imdbDisplay","\N","0"
"tt0000005","2","Ковальська сцена","UA","\N","imdbDisplay","\N","0"
"tt0000005","1","Blacksmithing Scene","US","\N","alternative","\N","0"
"tt0000006","1","Китайский опиумный притон","RU","\N","imdbDisplay","\N","0"
"tt0000006","4","Kínai ópiumbarlang","HU","\N","imdbDisplay","\N","0"
"tt0000006","6","Chinesische Opiumhöhle","DE","\N","\N","literal title","0"
"tt0000006","5","Chinese Opium Den","\N","\N","original","\N","1"
"tt0000006","3","Chinese Opium Den","US","\N","\N","\N","0"
"tt0000006","2","Chinezes Fumadores de Ópio","PT","\N","\N","promotional title","0"
"tt0000007","1","Corbett and Courtney Before the Kinetograph","US","\N","\N","\N","0"
"tt0000007","6","Jim Corbett vs. Peter Courtney","US","\N","alternative","\N","0"
"tt0000007","2","Corbett and Courtney Before the Kinetograph","\N","\N","original","\N","1"
"tt0000007","9","Corbett und Courtney vor dem Kinetographen","DE","\N","\N","literal title","0"
"tt0000007","8","Корбетт и Кортни перед кинематографом","RU","\N","imdbDisplay","\N","0"
"tt0000007","7","Edison Kinetoscopic Record of Boxers","\N","\N","\N","\N","0"
"tt0000007","5","The Corbett-Courtney Fight","US","\N","alternative","\N","0"
"tt0000007","4","キネトグラフの前のコーベットとコートニー","JP","ja","imdbDisplay","\N","0"
"tt0000007","3","A Corbett-Courtney bokszmeccs","HU","\N","imdbDisplay","\N","0"
"tt0000008","3","Edison Kinetoscopic Record of a Sneeze, January 7, 1894","US","\N","\N","complete title","0"
"tt0000008","2","フレッド・オット－のくしゃみ","JP","ja","imdbDisplay","\N","0"
"tt0000008","1","Edison asszisztense tüsszent","HU","\N","imdbDisplay","\N","0"
"tt0000008","10","Edison kinetoskopische Aufnahme eines Niesens","DE","\N","\N","literal title","0"
"tt0000008","6","Fred Otts Niesen","DE","\N","\N","literal title","0"
"tt0000008","9","Fred Ott's Sneeze","\N","\N","\N","\N","0"
"tt0000008","5","Edison Kinetoscopic Record of a Sneeze","\N","\N","original","\N","1"
"tt0000008","7","Чих, записанный на кинетоскоп Эдисона","RU","\N","imdbDisplay","\N","0"
"tt0000008","4","Edison Kinetoscopic Record of a Sneeze","US","\N","\N","\N","0"
"tt0000008","8","Чхання Фреда Отта","UA","\N","imdbDisplay","\N","0"
"tt0000009","1","Miss Jerry","\N","\N","original","\N","1"
"tt0000009","2","Fräulein Jerry","DE","\N","\N","literal title","0"
"tt0000009","4","Miss Jerry","US","\N","\N","\N","0"
"tt0000009","3","Miss Jerry","HU","\N","imdbDisplay","\N","0"
"tt0000010","8","La sortie de l'usine Lumière à Lyon","FR","\N","\N","poster title","0"
"tt0000010","7","La sortie de l'usine Lumière","FR","\N","alternative","\N","0"
"tt0000010","5","Employees Leaving the Lumière Factory","US","\N","alternative","\N","0"
"tt0000010","4","A Saída dos Operários da Fábrica Lumière","BR","\N","\N","\N","0"
"tt0000010","3","Exiting the Factory","US","\N","imdbDisplay","\N","0"
"tt0000010","24","Wyjście robotników z fabryki","PL","\N","imdbDisplay","\N","0"
"tt0000010","23","A munkaidő vége","HU","\N","imdbDisplay","\N","0"
"tt0000010","22","Työntekijät poistuvat Lumière-tehtaalta","FI","\N","\N","informal title","0"
"tt0000010","21","Выход рабочих с фабрики 'Люмьер'","RU","\N","imdbDisplay","\N","0"
"tt0000010","1","La salida de los obreros de la fábrica Lumière","AR","\N","\N","\N","0"
"tt0000010","20","Вихід робітників із фабрики","UA","\N","imdbDisplay","\N","0"
"tt0000010","17","L'uscita dalle fabbriche Lumière","IT","\N","imdbDisplay","\N","0"
"tt0000010","19","工場の出口","JP","ja","imdbDisplay","\N","0"
"tt0000010","18","Workers Leaving the Lumière Factory","US","\N","imdbDisplay","\N","0"
"tt0000010","16","Arbeiter verlassen die Lumière-Werke","DE","\N","imdbDisplay","\N","0"
"tt0000010","11","Радници напуштају фабрику Лимијер","RS","\N","imdbDisplay","\N","0"
"tt0000010","2","Lumière-fabrikens arbetare","FI","sv","\N","informal title","0"
"tt0000010","15","La sortie des ouvriers de l'usine Lumière","FR","\N","\N","informal alternative title","0"
"tt0000010","14","Salida de obreros de la fábrica Lumiere","UY","\N","\N","premiere title","0"
"tt0000010","13","Leaving the Factory","US","\N","imdbDisplay","\N","0"
"tt0000010","6","Sortie d'usine","FR","\N","\N","short title","0"
"tt0000010","12","La Salida De Los Obreros De La Fábrica Lumière","ES","\N","\N","literal translation of working title","0"
"tt0000010","10","La sortie des usines Lumière","FR","\N","alternative","\N","0"
"tt0000010","9","La sortie de l'usine Lumière à Lyon","\N","\N","original","\N","1"
